0,0,0,0,0
0.1,0,0,0,0
0.2,0,0,0,0
0.3,0,0,0,0
0.4,0,0,0,0
0.5,0,0,0,0
0.6,0,0,0,0
0.7,0,0,0,0
0.8,0,0,0,0
0.9,0,0,0,0
1,0,0,0,0
1.1,0,0,0,0
1.2,0,0,0,0
1.3,0,0,0,0
1.4,0,0,0,0
1.5,0,0,0,0
1.6,0,0,0,0
1.7,0,0,0,0
1.8,0,0,0,0
1.9,0,0,0,0
2,0,0,0,0
2.1,0,0,0,0
2.2,0,0,0,0
2.3,0,0,0,0
2.4,0,0,0,0
2.5,0,0,0,0
2.6,0,0,0,0
2.7,0,0,0,0
2.8,0,0,0,0
2.9,0,0,0,0
3,0,0,0,0
3.1,0,0,0,0
3.2,0,0,0,0
3.3,0,0,0,0
3.4,0,0,0,0
3.5,0,0,0,0
3.6,0,0,0,0
3.7,0,0,0,0
3.8,0,0,0,0
3.9,0,0,0,0
4,0,0,0,0
4.1,0,0,0,0
4.2,0,0,0,0
4.3,0,0,0,0
4.4,0,0,0,0
4.5,0,0,0,0
4.6,0,0,0,0
4.7,0,0,0,0
4.8,0,0,0,0
4.9,0,0,0,0
5,0,0,0,0
5.1,0,0,0,0
5.2,0,0,0,0
5.3,0,0,0,0
5.4,0,0,0,0
5.5,0,0,0,0
5.6,0,0,0,0
5.7,0,0,0,0
5.8,0,0,0,0
5.9,0,0,0,0
6,0,0,0,0
6.1,0,0,0,0
6.2,0,0,0,0
6.3,0,0,0,0
6.4,0,0,0,0
6.5,0,0,0,0
6.6,0,0,0,0
6.7,0,0,0,0
6.8,0,0,0,0
6.9,0,0,0,0
7,0,0,0,0
7.1,0,0,0,0
7.2,0,0,0,0
7.3,0,0,0,0
7.4,0,0,0,0
7.5,0,0,0,0
7.6,0,0,0,0
7.7,0,0,0,0
7.8,0,0,0,0
7.9,0,0,0,0
8,0,0,0,0
8.1,0,0,0,0
8.2,0,0,0,0
8.3,0,0,0,0
8.4,0,0,0,0
8.5,0,0,0,0
8.6,0,0,0,0
8.7,0,0,0.92039,0
8.8,0,0.46019,0.92039,0
8.9,0,1.3806,0.92039,0.92039
9,0,0.92039,1.3806,0.92039
9.1,0.92039,1.3806,1.3806,0.92039
9.2,0.92039,0.92039,1.8408,0.92039
9.3,1.3806,2.301,1.3806,1.3806
9.4,1.3806,1.3806,1.8408,1.8408
9.5,1.8408,3.2214,3.2214,2.301
9.6,1.8408,3.2214,3.2214,2.7612
9.7,2.7612,3.6816,3.2214,2.301
9.8,2.301,1.8408,2.7612,3.2214
9.9,3.2214,3.6816,2.7612,2.301
10,3.6816,2.7612,3.6816,1.8408
10.1,3.6816,3.6816,3.2214,3.6816
10.2,4.1417,3.6816,3.6816,4.1417
10.3,4.6019,4.1417,3.2214,3.6816
10.4,4.1417,3.6816,4.6019,4.1417
10.5,4.1417,5.0621,3.6816,4.1417
10.6,4.1417,5.0621,3.6816,4.6019
10.7,3.6816,3.2214,5.5223,5.0621
10.8,4.6019,3.6816,4.6019,5.0621
10.9,5.0621,4.1417,5.5223,5.0621
11,5.9825,5.5223,5.5223,5.0621
11.1,4.6019,4.6019,5.9825,5.5223
11.2,5.5223,5.5223,5.9825,5.5223
11.3,5.9825,6.4427,5.5223,5.5223
11.4,5.9825,5.0621,5.9825,5.9825
11.5,5.9825,4.6019,5.9825,6.4427
11.6,6.4427,5.9825,6.4427,6.4427
11.7,6.4427,6.4427,6.4427,5.9825
11.8,6.9029,7.3631,6.4427,5.0621
11.9,6.9029,7.8233,6.9029,6.9029
12,6.9029,6.4427,7.3631,7.3631
12.1,8.2835,8.2835,7.8233,7.8233
12.2,8.2835,8.2835,7.8233,6.4427
12.3,7.3631,7.3631,7.8233,7.3631
12.4,7.3631,8.2835,7.8233,7.3631
12.5,8.7437,7.3631,7.8233,7.8233
12.6,8.7437,10.124,8.2835,7.8233
12.7,7.3631,7.8233,8.2835,8.2835
12.8,7.8233,8.7437,8.2835,8.7437
12.9,8.2835,9.2039,9.2039,8.2835
13,8.2835,8.7437,8.7437,10.124
13.1,8.7437,9.6641,8.2835,8.7437
13.2,11.045,11.505,9.6641,9.2039
13.3,10.584,10.124,10.124,9.2039
13.4,9.6641,9.6641,10.124,9.6641
13.5,11.045,10.124,10.584,9.6641
13.6,10.124,11.965,9.6641,11.505
13.7,9.6641,11.045,9.2039,9.6641
13.8,9.6641,10.124,9.6641,9.6641
13.9,11.045,10.124,11.505,11.045
14,10.124,10.124,11.965,10.124
14.1,10.124,12.425,12.425,10.124
14.2,10.584,12.885,10.584,11.965
14.3,11.505,12.425,12.425,11.045
14.4,13.346,12.425,11.965,10.584
14.5,12.885,11.965,12.885,10.124
14.6,13.346,12.885,12.885,11.045
14.7,11.965,12.425,12.425,11.505
14.8,12.425,13.346,11.505,11.965
14.9,12.425,13.346,13.346,12.425
15,12.425,12.885,11.505,11.965
15.1,13.806,13.806,13.806,13.346
15.2,11.965,13.806,13.806,13.346
15.3,12.885,14.266,13.806,13.806
15.4,14.266,14.266,14.266,13.806
15.5,14.266,14.266,13.346,13.806
15.6,14.726,14.266,13.346,13.346
15.7,14.726,14.726,14.266,14.726
15.8,15.186,14.726,13.806,14.266
15.9,15.186,14.726,14.266,14.266
16,15.186,15.186,14.266,14.726
16.1,14.266,15.186,14.726,14.726
16.2,14.266,16.107,14.266,14.266
16.3,15.186,15.186,15.647,14.726
16.4,16.567,15.647,15.186,15.186
16.5,15.186,16.567,15.186,15.186
16.6,15.186,16.107,15.186,15.647
16.7,15.647,16.567,16.567,16.567
